Title,Credit,Attr,Desc
SAFS 405 - Sustainable Agriculture and Food Production ,Credits: 4,"Attributes: Environment,TechSociety(Disc)","This course introduces the fundamental concepts that define sustainable and organic agriculture. We will explore the scientific and biological principles that underlie sustainable and organic farming techniques and methods, and each student will explore research-based evidence surrounding the sustainability of different practices within the agricultural and food system. We will study the environmental, social and economic impacts of different food production systems, with an emphasis on systems common in the U.S. Finally, we will look at the role each of us has in influencing how food is grown, either as producer or as a consumer."
SAFS 405 - Sustainable Agriculture and Food Production ,Credits: 4,"Attributes: Environment,TechSociety(Disc)","This course introduces the fundamental concepts that define sustainable and organic agriculture. We will explore the scientific and biological principles that underlie sustainable and organic farming techniques and methods, and each student will explore research-based evidence surrounding the sustainability of different practices within the agricultural and food system. We will study the environmental, social and economic impacts of different food production systems, with an emphasis on systems common in the U.S. Finally, we will look at the role each of us has in influencing how food is grown, either as producer or as a consumer."
SAFS 405 - Sustainable Agriculture and Food Production ,Credits: 4,"Attributes: Environment,TechSociety(Disc)","This course introduces the fundamental concepts that define sustainable and organic agriculture. We will explore the scientific and biological principles that underlie sustainable and organic farming techniques and methods, and each student will explore research-based evidence surrounding the sustainability of different practices within the agricultural and food system. We will study the environmental, social and economic impacts of different food production systems, with an emphasis on systems common in the U.S. Finally, we will look at the role each of us has in influencing how food is grown, either as producer or as a consumer."
SAFS 410 - A Taste of the Tropics ,Credits: 4,Attributes: World Cultures(Discovery),"This course will expose students to the exciting world of tropical agriculture and the ways that people in the tropics utilize a diverse array of food crops. Our lives as consumers in the developed world are touched by tropical products every single day. Whether it's the cinnamon in your tea, the vanilla in your cookies, the black pepper on your salad, or your cup of hot coffee, you likely consume tropical crops whether you know it or not. Ever stop to wonder where these items are from and how they are produced? We will examine agriculture and food culture throughout the tropical world's four principle areas: Latin America, Tropical Asia, Tropical Africa, and the South Pacific. Production systems ranging from large scale modern high input operations to home subsistence gardens are explored. Tropical crops are examined in five major groups: grains and legumes, starchy roots, exotic vegetables, tropical fruit, and herbs, spices, medicinal plants. Cultural uses of these crops throughout the tropical world are given special emphasis."
SAFS 410 - A Taste of the Tropics ,Credits: 4,Attributes: World Cultures(Discovery),"This course will expose students to the exciting world of tropical agriculture and the ways that people in the tropics utilize a diverse array of food crops. Our lives as consumers in the developed world are touched by tropical products every single day. Whether it's the cinnamon in your tea, the vanilla in your cookies, the black pepper on your salad, or your cup of hot coffee, you likely consume tropical crops whether you know it or not. Ever stop to wonder where these items are from and how they are produced? We will examine agriculture and food culture throughout the tropical world's four principle areas: Latin America, Tropical Asia, Tropical Africa, and the South Pacific. Production systems ranging from large scale modern high input operations to home subsistence gardens are explored. Tropical crops are examined in five major groups: grains and legumes, starchy roots, exotic vegetables, tropical fruit, and herbs, spices, medicinal plants. Cultural uses of these crops throughout the tropical world are given special emphasis."
SAFS 502 - Agroecology ,Credits: 4,None,"This course introduces students to the discipline and practice of agroecology, with an emphasis on relevant ecological theory within the context of production agriculture. Students are exposed to key ecological principles from population, community, and ecosystem ecology and agronomy. Students learn about the history and consequences of modern industrial agricultural systems and the need for more sustainable management practices that consider ecological interactions."
SAFS 502 - Agroecology ,Credits: 4,None,"This course introduces students to the discipline and practice of agroecology, with an emphasis on relevant ecological theory within the context of production agriculture. Students are exposed to key ecological principles from population, community, and ecosystem ecology and agronomy. Students learn about the history and consequences of modern industrial agricultural systems and the need for more sustainable management practices that consider ecological interactions."
SAFS 510 - Agriculture and Development in the Neotropics ,Credits: 4,Attributes: World Cultures(Discovery),"Course is designed as a three week immersion into tropical agriculture and Costa Rican ecology and culture. Agriculture plays a pivotal role in Costa Rica's history and in shaping current events. Production of horticultural and agronomic crops occurs on a variety of scales ranging from large export based systems, to mid-sized operations for domestic sales, and sustenance based home gardens. Examples of all systems are visited and discussions focus on their overall sustainability. Sustainability is a broad concept and requires consideration of socio-cultural, environmental, and economic factors. Agriculture and agricultural products infuse the culture as seen by large participation in farmers markets and appreciation for a wide variety of fruits and vegetables prepared in myriads of ways. An appreciation for nature also infuses the culture and is embodied by the country's extensive system of national parks and protected reserves along with the national philosophy of 'Pura Vida'. Special fee."
SAFS 510 - Agriculture and Development in the Neotropics ,Credits: 4,Attributes: World Cultures(Discovery),"Course is designed as a three week immersion into tropical agriculture and Costa Rican ecology and culture. Agriculture plays a pivotal role in Costa Rica's history and in shaping current events. Production of horticultural and agronomic crops occurs on a variety of scales ranging from large export based systems, to mid-sized operations for domestic sales, and sustenance based home gardens. Examples of all systems are visited and discussions focus on their overall sustainability. Sustainability is a broad concept and requires consideration of socio-cultural, environmental, and economic factors. Agriculture and agricultural products infuse the culture as seen by large participation in farmers markets and appreciation for a wide variety of fruits and vegetables prepared in myriads of ways. An appreciation for nature also infuses the culture and is embodied by the country's extensive system of national parks and protected reserves along with the national philosophy of 'Pura Vida'. Special fee."
SAFS 600 - Field Experience ,Credits: 0,None,"As part of their degree program, students are expected to engage in a work experience or internship under professional supervision and approved by sustainable agriculture faculty. Provides the opportunity to apply academic knowledge in settings associated with future professional employment and/or related graduate opportunities. Must be approved by a faculty advisor selected by the student. Permission required. Cr/F."
SAFS 601 - Fruit Crop Production ,Credits: 4,None,"This course explores the origin, distribution, botany, and cultural practices of fruit crops. Fruit crops represent an important component of both our dietary needs and many agricultural production systems. Emphasis is given to temperate fruit crops suitable for New England growing conditions. Other topics explored include integrating fruit crops into landscapes, organic and conventional cultural practices, and post-harvesting handling. Prereq: "
SAFS 601 - Fruit Crop Production ,Credits: 4,None,"This course explores the origin, distribution, botany, and cultural practices of fruit crops. Fruit crops represent an important component of both our dietary needs and many agricultural production systems. Emphasis is given to temperate fruit crops suitable for New England growing conditions. Other topics explored include integrating fruit crops into landscapes, organic and conventional cultural practices, and post-harvesting handling. Prereq: "
SAFS 620 - Food Systems & Community Resilience ,Credits: 4,None,"This course is designed to provide a broad overview of the emerging field of food systems. We will use a systems perspective to better understand how the U.S. food system shapes the food we eat, and the character and health of our communities and environment. In the second half of the course, we will critically evaluate alternative food system development, policies, and initiatives aimed at improving farmers' livelihoods, environmental sustainability, food justice, and community resilience. Prereq: "
SAFS 632 - Urban Agriculture ,Credits: 4,None,"Urban agricultural systems play an important role in local food production. Production systems range from community gardens to completely controlled production environments. Urban farmers dace unique challenges developing sustainable business models due to high land costs, waste management, post-harvest storage, and limited technical experience. This course provides a practical, hands-on understanding of urban agricultural production systems. Emphasis is placed on controlled environmental agriculture from an urban farmer’s perspective through classroom discussion and production systems operation."
SAFS 632 - Urban Agriculture ,Credits: 4,None,"Urban agricultural systems play an important role in local food production. Production systems range from community gardens to completely controlled production environments. Urban farmers dace unique challenges developing sustainable business models due to high land costs, waste management, post-harvest storage, and limited technical experience. This course provides a practical, hands-on understanding of urban agricultural production systems. Emphasis is placed on controlled environmental agriculture from an urban farmer’s perspective through classroom discussion and production systems operation."
SAFS 632 - Urban Agriculture ,Credits: 4,None,"Urban agricultural systems play an important role in local food production. Production systems range from community gardens to completely controlled production environments. Urban farmers dace unique challenges developing sustainable business models due to high land costs, waste management, post-harvest storage, and limited technical experience. This course provides a practical, hands-on understanding of urban agricultural production systems. Emphasis is placed on controlled environmental agriculture from an urban farmer’s perspective through classroom discussion and production systems operation."
SAFS #642 - Team Experience in Agroecosystems Management (TEAM - Organic) ,Credits: 4,None,"TEAM - Organic is a 2-semester experiential course where students are actively engaged in the operation of the COLSA/NHAES Organic Dairy Research Farm. Building on principles of agro-ecology and sustainable agriculture, students explore and practice the environmental, economic, social and production strategies needed for organic food production. Organic dairy farming methods and best practices are presented and applied. The organic food chain is addressed along with marketing and value-added strategies for organic dairy products. Instruction permission. Two semesters of "
SAFS #642 - Team Experience in Agroecosystems Management (TEAM - Organic) ,Credits: 4,None,"TEAM - Organic is a 2-semester experiential course where students are actively engaged in the operation of the COLSA/NHAES Organic Dairy Research Farm. Building on principles of agro-ecology and sustainable agriculture, students explore and practice the environmental, economic, social and production strategies needed for organic food production. Organic dairy farming methods and best practices are presented and applied. The organic food chain is addressed along with marketing and value-added strategies for organic dairy products. Instruction permission. Two semesters of "
SAFS 670 - Systems Thinking: Land Use Capability and Sustainability ,Credits: 4,None,"This course establishes a conceptual framework in systems thinking to critically examine New Zealand and global examples of the challenges that have arisen from the mismatch between land use and land use capability. Students investigate downstream effects of the rural-urban divide (food-justice), on people, health, services and the environment. Food security, ethical foods, as well as the influence of climate change on food supply and the viability of agribusiness are included.Special Fee."
SAFS 670 - Systems Thinking: Land Use Capability and Sustainability ,Credits: 4,None,"This course establishes a conceptual framework in systems thinking to critically examine New Zealand and global examples of the challenges that have arisen from the mismatch between land use and land use capability. Students investigate downstream effects of the rural-urban divide (food-justice), on people, health, services and the environment. Food security, ethical foods, as well as the influence of climate change on food supply and the viability of agribusiness are included.Special Fee."
SAFS 671 - Agroecology and Sustainable Land Management ,Credits: 4,None,"Agroecology is a way of thinking and acting. Using this lens, students investigate the interface of agriculture and the natural environment. Through first-hand experiences with agribusiness, students explore enduring solutions for sustainable food systems. The emphasis will be on dimensions of agroecology that are relevant in a framework of sustainable land management; and on gaining confidence in evaluating processes and science associated with the biological an physical process in agroecosystems. Special Fee."
SAFS 671 - Agroecology and Sustainable Land Management ,Credits: 4,None,"Agroecology is a way of thinking and acting. Using this lens, students investigate the interface of agriculture and the natural environment. Through first-hand experiences with agribusiness, students explore enduring solutions for sustainable food systems. The emphasis will be on dimensions of agroecology that are relevant in a framework of sustainable land management; and on gaining confidence in evaluating processes and science associated with the biological an physical process in agroecosystems. Special Fee."
SAFS 672 - Pathways to Sustainable Agriculture and Food Systems ,Credits: 4,None,"This course empowers students to pursue knowledge and understanding of food systems around the interface of policy, practice, and science to build pathways toward technically robust, economically sound and viable solutions which enable transformation in the rural landscape. Topics include: value systems, socio-cultural benefits of re-thinking food systems at sale, carbon-forestry, carbon offsets, nutrient cap-and-trade models, (Integrated) Catchment Management and Climate Smart Agriculture. Critical thinking and risk assessment tools are integral components. Special Fee."
SAFS 673 - Agricultural Production and Business Practice ,Credits: 4,None,"In this experiential course students will spend time in farm or agri-business placements. Practical, hands-on experience of the workings of agribusiness provides students with opportunities to enhance their autonomy and capacity as active learners. Students will gain transferable skills, increase competency and develop a comprehensive understanding of sustainability initiatives and practices of food systems. Students can transfer insights from classroom work to a practical setting and bring previously developed skills to a new context. Special Fee."
SAFS 673 - Agricultural Production and Business Practice ,Credits: 4,None,"In this experiential course students will spend time in farm or agri-business placements. Practical, hands-on experience of the workings of agribusiness provides students with opportunities to enhance their autonomy and capacity as active learners. Students will gain transferable skills, increase competency and develop a comprehensive understanding of sustainability initiatives and practices of food systems. Students can transfer insights from classroom work to a practical setting and bring previously developed skills to a new context. Special Fee."
