Title,Credit,Attr,Desc
AM 591 - Studies in Agricultural Mechanization ,Credits: 1-4,None,"Students who have the ability and adequate preparation to work independently may propose a contract to design a course or research project on a topic not available through existing course offerings. The purpose of this research is to explore new areas in the student's field of study or to pursue course material in greater depth. Work is supervised by an appropriate faculty/staff member; credit varies depending on the proposed project/research. Areas may include welding, engines, building construction, electricity, or computers."
AM 591 - Studies in Agricultural Mechanization ,Credits: 1-4,None,"Students who have the ability and adequate preparation to work independently may propose a contract to design a course or research project on a topic not available through existing course offerings. The purpose of this research is to explore new areas in the student's field of study or to pursue course material in greater depth. Work is supervised by an appropriate faculty/staff member; credit varies depending on the proposed project/research. Areas may include welding, engines, building construction, electricity, or computers."
AM 592 - Studies in Agricultural Mechanization ,Credits: 1-4,None,"Students who have the ability and adequate preparation to work independently may propose a contract to design a course or research project on a topic not available through existing course offerings. The purpose of this research is to explore new areas in the student's field of study or to pursue course material in greater depth. Work is supervised by an appropriate faculty/staff member; credit varies depending on the proposed project/research. Areas may include welding, engines, building construction, electricity, or computers."
AM 592 - Studies in Agricultural Mechanization ,Credits: 1-4,None,"Students who have the ability and adequate preparation to work independently may propose a contract to design a course or research project on a topic not available through existing course offerings. The purpose of this research is to explore new areas in the student's field of study or to pursue course material in greater depth. Work is supervised by an appropriate faculty/staff member; credit varies depending on the proposed project/research. Areas may include welding, engines, building construction, electricity, or computers."
ANSC 401 - Animals and Society ,Credits: 0 or 4,Attributes: Biological Science(Discovery); Discovery Lab Course,"Through an interdisciplinary and historical lens, students delve into the interaction and interdependence of animals and people, the changes and patterns over time, and the resulting implications for the animal industry and the quality of life for animals, people, and the planet. Topics covered include agricultural production, organic farming, sustainability, global agriculture, Community Supported Agriculture (CSAs), research, nutrition, food safety, genetics, animal health, aquaculture, animal welfare, breeding, recreation, companionship, and the reproduction of domestic animals. What are the major changes in meat consumption by humans? What is the effect of these changes on the environment and large and small farm operations? What are the effects of biotechnological research performed on animals for human benefits? What is the difference between animal welfare and animal rights? Why should we care? In what ways does this affect us?."
ANSC 401 - Animals and Society ,Credits: 0 or 4,Attributes: Biological Science(Discovery); Discovery Lab Course,"Through an interdisciplinary and historical lens, students delve into the interaction and interdependence of animals and people, the changes and patterns over time, and the resulting implications for the animal industry and the quality of life for animals, people, and the planet. Topics covered include agricultural production, organic farming, sustainability, global agriculture, Community Supported Agriculture (CSAs), research, nutrition, food safety, genetics, animal health, aquaculture, animal welfare, breeding, recreation, companionship, and the reproduction of domestic animals. What are the major changes in meat consumption by humans? What is the effect of these changes on the environment and large and small farm operations? What are the effects of biotechnological research performed on animals for human benefits? What is the difference between animal welfare and animal rights? Why should we care? In what ways does this affect us?."
ANSC 401 - Animals and Society ,Credits: 0 or 4,Attributes: Biological Science(Discovery); Discovery Lab Course,"Through an interdisciplinary and historical lens, students delve into the interaction and interdependence of animals and people, the changes and patterns over time, and the resulting implications for the animal industry and the quality of life for animals, people, and the planet. Topics covered include agricultural production, organic farming, sustainability, global agriculture, Community Supported Agriculture (CSAs), research, nutrition, food safety, genetics, animal health, aquaculture, animal welfare, breeding, recreation, companionship, and the reproduction of domestic animals. What are the major changes in meat consumption by humans? What is the effect of these changes on the environment and large and small farm operations? What are the effects of biotechnological research performed on animals for human benefits? What is the difference between animal welfare and animal rights? Why should we care? In what ways does this affect us?."
ANSC 401 - Animals and Society ,Credits: 0 or 4,Attributes: Biological Science(Discovery); Discovery Lab Course,"Through an interdisciplinary and historical lens, students delve into the interaction and interdependence of animals and people, the changes and patterns over time, and the resulting implications for the animal industry and the quality of life for animals, people, and the planet. Topics covered include agricultural production, organic farming, sustainability, global agriculture, Community Supported Agriculture (CSAs), research, nutrition, food safety, genetics, animal health, aquaculture, animal welfare, breeding, recreation, companionship, and the reproduction of domestic animals. What are the major changes in meat consumption by humans? What is the effect of these changes on the environment and large and small farm operations? What are the effects of biotechnological research performed on animals for human benefits? What is the difference between animal welfare and animal rights? Why should we care? In what ways does this affect us?."
ANSC 406 - Careers in Animal Science ,Credits: 1,None, Survey of various areas of animal and veterinary science and opportunities available. Cr/F.
ANSC 421 - Introduction to Animal Science ,Credits: 4,None,"This course provides an overview of the scope and diversity of animal agriculture at the global, national and local levels. It also provides an introduction to the animal sciences through which students 1) learn basic animal science terminology 2) acquire an appreciation of the objectives of various animal enterprises and 3) gain understanding of contemporary trends, challenges and opportunities within animal agriculture. Special fee."
