Course Listing,Title,Credit,Desc
,,,
CPS 208,Computer & Business Technologies ,3,"This course is designed to introduce students to the use
of software applications in business. This instruction
provides them with a solid foundation on which to build
a strong and useful knowledge of information technology.
Placement Criterion: Accuplacer score or completion of
CPS 101
CUL 101 Food Safety, Sanitation, ServSafe Certifications
 3 CR
To develop an understanding of the basic principles of
sanitation and safety and to be able to apply them in the
foodservice operations. To reinforce personal hygiene
habits and food handling “best practices” that protects the
health of the consumer. The culmination of the course is
the nationally recognized ServSafe Food Handlers
Certification Certificate post successful completion of
exam.
CUL 102 Online Class for the Following: Intro to Cooking
Methods 3 CR
Students will participate in an online discussion forum to
discuss text material and video demonstrations that introduce the hands-on practice for CUL 103, 104 & 105. Tests
and homework will also be online.
CUL 103 Pantry Fundamentals - Soups, Salads, Appetizers
and Small Plates 3 CR
The Pantry is the location in the kitchen where foods are
kept and typically prepared cold. There are a lot of foods
that can be and are prepared this way. They include
smoked and cured meats, vegetables, fruits, salads,
cheeses, pickled foods, condiments, sauces, soups and
sometimes desserts. If you end up catering for a large
event, there's a good chance this station will end up being
in charge of making a large quantity of sandwiches and
other cold platters. This program will also include basic
product identification information, recipe structure, plus
an introduction to common and indigenous cooking
methods.
"
,,,
CUL 104,Protein Selection and Utilization ,3,"This course provides the students with a hands-on
introduction to the fundamentals of butchery, fish and
seafood identification and fabrication to include wild
game, with an emphasis on regional and local farmers.
Sustainability practices will be explored in depth in this
module.
"
,,,
HTH 232,Wellness: Food for Fitness ,1,"This course examines nutrition in relation to the five
dimensions of personal wellness. Consideration is to be
given to cultural beliefs as they influence peoples’
personal food choices. The role of environmental factors
in determining food quality and safety is explored.
"
,,,
SCI 102,General Animal Biology & Ecology ,4,"This general biology course emphasizes the diversity of
life with a study of bacteria, viruses, and a survey of the
animal kingdom. The course covers anatomy and
physiology of human and animal body systems, animal
behavior and ecology. Includes a 1 credit lab which
meets 2 hours weekly.
"
,,,
SCI 151,General Physics ,3,"This is a non-calculus general physics course for life
sciences, pre-professional (excluding pre-engineering),
agriculture, and chemistry students. This course covers
mechanics, work and energy, fluids, waves, electricity,
optics and modern physics.
"
,,,
SCI 169,Introduction to Horticulture ,3,"This course will give students the opportunity to learn
about interior, food, and landscape plants; their identification, propagation, culture, and site selection.
SCI 210 Geographic Information Systems Applications
 4 CR
In this capstone course, students learn to evaluate the
needs of a project and determine the resources needed
to successfully complete the project. Students collect
appropriate data, customize the GIS to address specific
project requirements, create accurate and well-designed
mapping products, and apply knowledge gained in the
course to a range of project types undertaken by the
business industry, community, and government. Includes a
1 credit lab which meets 2 hours weekly.
168 or instructor approval
"
,,,
SOC 111,Introduction to Sociology ,3,"An introduction to the basic concepts and methods of
sociology, the basic structure of social life, culture, types
of group interaction, social institutions, stratification,
power relationships, and social problems.
SOC 114 Sociology of Food and Culture 3CR
Where does our food come from? How does the study of
food help us understand what we call “society”, “culture”
and “identity”? This course explores connections between
what we eat and who we are through the study of how
personal identities and social groups are formed via food
production, preparation, and consumption. The course
examines the social context shaping the literal and symbolic production of food. We will discuss the cultural
meanings attached to food, the institutional and industrial
creation of food, its preparation, and rituals of eating. We
will work towards a better understanding of how food is
related to identity, ethnicity, religion, politics, economics,
nationalism, gender, health and environment.
SOC 205 Sociology of Race, Diversity, & Ethnicity in the
United States 3 CR
Investigation into the social dynamics shaping racial and
ethnic minority experiences in America. The causes and
consequences of prejudice, racism and discrimination are
studied. Students examine the minority status of African
Americans, Native Americans, Hispanic Americans and
Asian Americans in contrast to European ancestry groups.
Students analyze institutional racism and contemporary
issues involving minority groups. Additional topics relating
to diversity include ageism, sexism, gender differences, the
disabled and sexual orientation. "
